"ThuTu" "Truoc" "Sau"
"1" 104 106
"2" 108 101
"3" 111 121
"4" 107 108
"5" 111 118
"6" 112 111
"7" 108 108
"8" 111 117
"9" 116 114
"10" 107 134
"11" 111 94
"12" 98 101
"13" 103 124
"14" 109 109
"15" 108 117
"16" 99 105
"17" 105 112
"18" 114 106
"19" 104 112
"20" 115 105
"21" 104 107
"22" 104 117
"23" 98 109
"24" 110 118
"25" 107 108
"26" 111 99
"27" 105 116
"28" 115 115
"29" 109 120
"30" 105 106
"31" 102 96
"32" 110 106
"33" 109 126
"34" 106 113
"35" 104 101
"36" 97 95
"37" 115 123
"38" 96 113
"39" 95 108
"40" 105 108
"41" 117 115
"42" 106 107
"43" 102 103
"44" 108 98
"45" 106 116
"46" 104 115
"47" 114 112
"48" 111 113
"49" 109 104
"50" 103 120
